Alpha,Beta,Evaporation Rate,Number of Ants,Trial,Best Distance
0.5,2.0,0.3,30,21,211.86912597118442
0.5,2.0,0.3,30,22,211.86912597118442
0.5,2.0,0.3,30,23,211.86912597118442
0.5,2.0,0.3,30,24,211.86912597118442
0.5,2.0,0.3,30,25,211.86912597118442
0.5,2.0,0.3,30,26,211.86912597118442
0.5,2.0,0.3,30,27,211.86912597118442
0.5,2.0,0.3,30,28,211.86912597118442
0.5,2.0,0.3,30,29,211.86912597118442
0.5,2.0,0.3,30,30,211.86912597118442
0.5,2.0,0.5,10,1,211.86912597118442
0.5,2.0,0.5,10,2,211.86912597118442
0.5,2.0,0.5,10,3,211.86912597118442
0.5,2.0,0.5,10,4,211.86912597118442
0.5,2.0,0.5,10,5,211.86912597118442
0.5,2.0,0.5,10,6,211.86912597118442
0.5,2.0,0.5,10,7,211.86912597118442
0.5,2.0,0.5,10,8,211.86912597118442
0.5,2.0,0.5,10,9,211.86912597118442
0.5,2.0,0.5,10,10,211.86912597118442
0.5,2.0,0.5,10,11,211.86912597118442
0.5,2.0,0.5,10,12,211.86912597118442
0.5,2.0,0.5,10,13,211.86912597118442
0.5,2.0,0.5,10,14,211.86912597118442
0.5,2.0,0.5,10,15,211.86912597118442
0.5,2.0,0.5,10,16,211.86912597118442
0.5,2.0,0.5,10,17,211.86912597118442
0.5,2.0,0.5,10,18,211.86912597118442
0.5,2.0,0.5,10,19,211.86912597118442
0.5,2.0,0.5,10,20,211.86912597118442
0.5,2.0,0.5,10,21,211.86912597118442
0.5,2.0,0.5,10,22,211.86912597118442
0.5,2.0,0.5,10,23,211.86912597118442
0.5,2.0,0.5,10,24,211.86912597118442
0.5,2.0,0.5,10,25,211.86912597118442
0.5,2.0,0.5,10,26,211.86912597118442
0.5,2.0,0.5,10,27,211.86912597118442
0.5,2.0,0.5,10,28,211.86912597118442
0.5,2.0,0.5,10,29,211.86912597118442
0.5,2.0,0.5,10,30,211.86912597118442
0.5,2.0,0.5,20,1,211.86912597118442
0.5,2.0,0.5,20,2,211.86912597118442
0.5,2.0,0.5,20,3,211.86912597118442
0.5,2.0,0.5,20,4,211.86912597118442
0.5,2.0,0.5,20,5,211.86912597118442
0.5,2.0,0.5,20,6,211.86912597118442
0.5,2.0,0.5,20,7,211.86912597118442
0.5,2.0,0.5,20,8,211.86912597118442
0.5,2.0,0.5,20,9,211.86912597118442
0.5,2.0,0.5,20,10,211.86912597118442
0.5,2.0,0.5,20,11,211.86912597118442
0.5,2.0,0.5,20,12,211.86912597118442
0.5,2.0,0.5,20,13,211.86912597118442
0.5,2.0,0.5,20,14,211.86912597118442
0.5,2.0,0.5,20,15,211.86912597118442
0.5,2.0,0.5,20,16,211.86912597118442
0.5,2.0,0.5,20,17,211.86912597118442
0.5,2.0,0.5,20,18,211.86912597118442
0.5,2.0,0.5,20,19,211.86912597118442
0.5,2.0,0.5,20,20,211.86912597118442
0.5,2.0,0.5,20,21,211.86912597118442
0.5,2.0,0.5,20,22,211.86912597118442
0.5,2.0,0.5,20,23,211.86912597118442
0.5,2.0,0.5,20,24,211.86912597118442
0.5,2.0,0.5,20,25,211.86912597118442
0.5,2.0,0.5,20,26,211.86912597118442
0.5,2.0,0.5,20,27,211.86912597118442
0.5,2.0,0.5,20,28,211.86912597118442
0.5,2.0,0.5,20,29,211.86912597118442
0.5,2.0,0.5,20,30,211.86912597118442
0.5,2.0,0.5,30,1,211.86912597118442
0.5,2.0,0.5,30,2,211.86912597118442
0.5,2.0,0.5,30,3,211.86912597118442
0.5,2.0,0.5,30,4,211.86912597118442
0.5,2.0,0.5,30,5,211.86912597118442
0.5,2.0,0.5,30,6,211.86912597118442
0.5,2.0,0.5,30,7,211.86912597118442
0.5,2.0,0.5,30,8,211.86912597118442
0.5,2.0,0.5,30,9,211.86912597118442
0.5,2.0,0.5,30,10,211.86912597118442
0.5,2.0,0.5,30,11,211.86912597118442
0.5,2.0,0.5,30,12,211.86912597118442
0.5,2.0,0.5,30,13,211.86912597118442
0.5,2.0,0.5,30,14,211.86912597118442
0.5,2.0,0.5,30,15,211.86912597118442
0.5,2.0,0.5,30,16,211.86912597118442
0.5,2.0,0.5,30,17,211.86912597118442
0.5,2.0,0.5,30,18,211.86912597118442
0.5,2.0,0.5,30,19,211.86912597118442
0.5,2.0,0.5,30,20,211.86912597118442
0.5,2.0,0.5,30,21,211.86912597118442
0.5,2.0,0.5,30,22,211.86912597118442
0.5,2.0,0.5,30,23,211.86912597118442
0.5,2.0,0.5,30,24,211.86912597118442
0.5,2.0,0.5,30,25,211.86912597118442
0.5,2.0,0.5,30,26,211.86912597118442
0.5,2.0,0.5,30,27,211.86912597118442
0.5,2.0,0.5,30,28,211.86912597118442
0.5,2.0,0.5,30,29,211.86912597118442
0.5,2.0,0.5,30,30,211.86912597118442
0.5,2.0,0.7,10,1,211.86912597118442
0.5,2.0,0.7,10,2,211.86912597118442
0.5,2.0,0.7,10,3,211.86912597118442
0.5,2.0,0.7,10,4,211.86912597118442
0.5,2.0,0.7,10,5,211.86912597118442
0.5,2.0,0.7,10,6,211.86912597118442
0.5,2.0,0.7,10,7,211.86912597118442
0.5,2.0,0.7,10,8,211.86912597118442
